qv,nu,RL,RLerr,qvcenter,RL_fortran_qvcenter_nu,RT_fortran_qvcenter_nu,RL_fortran_qvdata_nu,RT_fortran_qvdata_nu,bc_qv_nu,RLbc,RLerr_bc,Ex
0.55,0.0332535857142857,0.00038,0.0003599999999999,0.57,6.35e-05,0.000266,0.000118,0.000841,1,0.00038,0.0003599999999999,0.019772005868287194
0.55,0.03850944,0.000595,0.000505,0.57,0.000167,0.000703,0.000275,0.00103,1,0.000595,0.000505,0.025044731508727568
0.55,0.0434359457142857,0.00061,0.00049,0.57,0.000248,0.001,0.000392,0.00138,1,0.00061,0.00049,0.029989295212411227
0.55,0.0491538028571428,0.00073,0.0003,0.57,0.000357,0.00136,0.000566,0.00187,1,0.00073,0.0003,0.03573083346795505
0.55,0.0531883228571428,0.001095,0.000305,0.57,0.000441,0.00166,0.000694,0.00227,1,0.001095,0.000305,0.03978382284320272
0.55,0.0583847114285714,0.001325,0.000475,0.57,0.000545,0.0021,0.000841,0.00286,1,0.001325,0.000475,0.04500614525074878
0.55,0.0637732199999999,0.001245,0.000515,0.57,0.000646,0.00263,0.000981,0.00356,1,0.001245,0.000515,0.05042409777729316
0.55,0.0683337828571428,0.0015,0.00033,0.57,0.000747,0.00314,0.00112,0.00424,1,0.0015,0.00033,0.05501161010171102
0.55,0.0731962485714285,0.00173,0.00043,0.57,0.000886,0.00375,0.00132,0.00503,1,0.00173,0.00043,0.0599048588239303
0.55,0.0783606171428571,0.0027,0.0003999999999999,0.57,0.00107,0.00448,0.00159,0.00597,1,0.0027,0.0003999999999999,0.06510423793007347
0.55,0.0832276571428571,0.003085,0.000265,0.57,0.00128,0.00525,0.00187,0.00692,1,0.003085,0.000265,0.07000645670062633
0.55,0.0882502228571428,0.00331,0.0005,0.57,0.00153,0.00611,0.0022,0.00797,1,0.00331,0.0005,0.07506754714746018
0.55,0.0933871457142857,0.00337,0.0005,0.57,0.00181,0.00705,0.00256,0.00909,1,0.00337,0.0005,0.08024620632372663
0.55,0.0982541857142857,0.004065,0.000425,0.57,0.00209,0.008,0.00292,0.0102,1,0.004065,0.000425,0.0851549678314076
0.55,0.1030068685714285,0.00456,0.00082,0.57,0.00239,0.00896,0.00328,0.0113,1,0.00456,0.00082,0.08995043696348842
0.55,0.1082215542857142,0.00457,0.00087,0.57,0.00273,0.01,0.00368,0.0125,1,0.00457,0.00087,0.09521439311251756
0.55,0.1129467914285714,0.0049,0.00052,0.57,0.00304,0.011,0.00405,0.0135,1,0.0049,0.00052,0.09998637711894576
0.55,0.1182026457142857,0.005585,0.000495,0.57,0.0034,0.0121,0.00445,0.0147,1,0.005585,0.000495,0.10529657421016407
0.55,0.1229599028571428,0.00597,0.00084,0.57,0.00372,0.0131,0.0048,0.0156,1,0.00597,0.00084,0.11010514966831823
0.55,0.1280190628571428,0.00592,0.00089,0.57,0.00406,0.0141,0.00517,0.0166,1,0.00592,0.00089,0.11522110617682525
0.55,0.1327168542857142,0.006545,0.001085,0.57,0.00437,0.015,0.00549,0.0175,1,0.006545,0.001085,0.11997368750326186
0.55,0.1380138771428571,0.006455,0.0010149999999999,0.57,0.0047,0.0159,0.00583,0.0183,1,0.006455,0.0010149999999999,0.12533485720565918
0.55,0.14321484,0.00691,0.00112,0.57,0.00501,0.0168,0.00614,0.0191,1,0.00691,0.00112,0.13060124590428634
0.55,0.1481596428571428,0.0071249999999999,0.0012749999999999,0.57,0.00529,0.0175,0.0064,0.0196,1,0.0071249999999999,0.0012749999999999,0.13561049630908215
0.55,0.1527979685714285,0.007355,0.0010849999999999,0.57,0.00554,0.0181,0.00663,0.0201,1,0.007355,0.0010849999999999,0.14031126340053723
0.55,0.1582459428571428,0.0077,0.0010399999999999,0.57,0.0058,0.0187,0.00685,0.0205,1,0.0077,0.0010399999999999,0.1458350365425403
0.55,0.1625229,0.007745,0.0015049999999999,0.57,0.00598,0.0191,0.00699,0.0207,1,0.007745,0.0015049999999999,0.15017336041440374
0.55,0.16735792,0.0077299999999999,0.0010999999999999,0.57,0.00616,0.0194,0.00712,0.0207,1,0.0077299999999999,0.0010999999999999,0.15507972503608544
0.55,0.1724719714285714,0.007685,0.0014749999999999,0.57,0.00632,0.0197,0.00721,0.0207,1,0.007685,0.0014749999999999,0.16027151432213277
0.55,0.1772246542857142,0.00727,0.0015499999999999,0.57,0.00643,0.0198,0.00726,0.0206,1,0.00727,0.0015499999999999,0.16509853951056172
0.55,0.1824027457142857,0.00654,0.0015,0.57,0.00652,0.0198,0.00726,0.0203,1,0.00654,0.0015,0.1703599277524012
0.55,0.1874115885714285,0.005895,0.0016249999999999,0.57,0.00657,0.0197,0.00723,0.0199,1,0.005895,0.0016249999999999,0.1754516271977868
0.55,0.1917525857142857,0.00586,0.0015899999999999,0.57,0.00658,0.0195,0.00717,0.0195,1,0.00586,0.0015899999999999,0.17986624889768676
0.55,0.1967385571428571,0.006045,0.001055,0.57,0.00657,0.0192,0.00707,0.019,1,0.006045,0.001055,0.18493886398963888
0.55,0.2024152457142857,0.0058449999999999,0.001645,0.57,0.00652,0.0188,0.00691,0.0182,1,0.0058449999999999,0.001645,0.19071690664189236
0.55,0.2074332371428571,0.005315,0.001495,0.57,0.00644,0.0183,0.00678,0.0176,1,0.005315,0.001495,0.1958268919948684
0.55,0.2114403114285714,0.005525,0.000905,0.57,0.00636,0.0178,0.00664,0.017,1,0.005525,0.000905,0.19990904489149014
0.55,0.2170255142857143,0.0058449999999999,0.001225,0.57,0.00621,0.0172,0.00642,0.0162,1,0.0058449999999999,0.001225,0.20560129143059613
0.55,0.2216180971428571,0.005275,0.0011549999999999,0.57,0.00608,0.0166,0.00624,0.0156,1,0.005275,0.0011549999999999,0.21028398464425363
0.55,0.2262198285714285,0.004595,0.001105,0.57,0.00593,0.016,0.00605,0.015,1,0.004595,0.001105,0.21497789847833879
0.55,0.23171812,0.00545,0.00129,0.57,0.00575,0.0153,0.00586,0.0143,1,0.00545,0.00129,0.22058881632923305
0.55,0.2370700342857142,0.00352,0.00126,0.57,0.00559,0.0147,0.00563,0.0136,1,0.00352,0.00126,0.22605295614813276
0.55,0.2411594457142857,0.004255,0.001215,0.57,0.00545,0.0142,0.00547,0.0132,1,0.004255,0.001215,0.23022984642359062
0.55,0.2462963685714285,0.00425,0.00115,0.57,0.00526,0.0136,0.00527,0.0127,1,0.00425,0.00115,0.23547877603123674
0.55,0.2514881828571428,0.00344,0.0012499999999999,0.57,0.00508,0.0131,0.00506,0.0123,1,0.00344,0.0012499999999999,0.240786192613664
0.55,0.2560670428571429,0.00313,0.0013,0.57,0.00492,0.0127,0.00496,0.0121,1,0.00313,0.0013,0.24546900789729326
0.55,0.2612176885714286,0.004245,0.001165,0.57,0.00475,0.0124,0.00477,0.0118,1,0.004245,0.001165,0.2507388319254543
0.55,0.2662448285714285,0.0033799999999999,0.0012499999999999,0.57,0.00464,0.0121,0.0046,0.0117,1,0.0033799999999999,0.0012499999999999,0.2558845811542264
0.55,0.2710981457142857,0.002715,0.0012949999999999,0.57,0.00449,0.0119,0.00445,0.0117,1,0.002715,0.0012949999999999,0.2608545513597377
0.55,0.2764592085714286,0.001815,0.001295,0.57,0.00433,0.0118,0.00436,0.0118,1,0.001815,0.001295,0.26634692077414557
0.55,0.2815137942857143,0.001825,0.001335,0.57,0.0042,0.0117,0.00421,0.0119,1,0.001825,0.001335,0.271527661541625
0.55,0.2869800657142857,0.0018499999999999,0.00138,0.57,0.00412,0.0118,0.00407,0.0122,1,0.0018499999999999,0.00138,0.2771329355531377
0.55,0.2918059371428572,0.00286,0.00152,0.57,0.00401,0.012,0.00404,0.0125,1,0.00286,0.00152,0.2820837464536382
0.55,0.2965677685714285,0.002255,0.0016849999999999,0.57,0.0039,0.0122,0.00394,0.0129,1,0.002255,0.0016849999999999,0.28697090157176114
0.55,0.3015583142857142,0.001945,0.001625,0.57,0.00381,0.0125,0.00383,0.0134,1,0.001945,0.001625,0.2920949673951632
0.55,0.3065305628571428,0.00198,0.00184,0.57,0.0038,0.0129,0.00374,0.014,1,0.00198,0.00184,0.2972024623904008
0.55,0.3114845142857143,0.00226,0.00214,0.57,0.00371,0.0134,0.00375,0.0146,1,0.00226,0.00214,0.3022933621404203
0.55,0.3165391,0.00224,0.0018999999999999,0.57,0.00363,0.0139,0.00366,0.0153,1,0.00224,0.0018999999999999,0.30748994101935995
0.55,0.3216623,0.00248,0.00216,0.57,0.00356,0.0145,0.00359,0.0161,1,0.00248,0.00216,0.3127593940794995
0.55,0.3265476371428571,0.0025599999999999,0.00211,0.57,0.00359,0.0152,0.00361,0.0169,1,0.0025599999999999,0.00211,0.3177863810739532
0.55,0.3313735085714286,0.0022549999999999,0.002075,0.57,0.00353,0.0159,0.00355,0.0177,1,0.0022549999999999,0.002075,0.32275427445901755
0.55,0.3369861571428571,0.002585,0.002475,0.57,0.00347,0.0167,0.00349,0.0187,1,0.002585,0.002475,0.32853471994952693
0.55,0.3416244828571428,0.00263,0.00215,0.57,0.00352,0.0175,0.00352,0.0195,1,0.00263,0.00215,0.3333138408499595
0.55,0.3465418399999999,0.00219,0.0021,0.57,0.00347,0.0183,0.00348,0.0205,1,0.00219,0.0021,0.3383825649450073
0.55,0.3516879114285713,0.0020399999999999,0.0019299999999999,0.57,0.00343,0.0192,0.00344,0.0214,1,0.0020399999999999,0.0019299999999999,0.34368936012444673
0.55,0.3566464371428571,0.002265,0.001325,0.57,0.00341,0.0201,0.00347,0.0224,1,0.002265,0.001325,0.3488049932855791
